"","Original","ES","TH","RRH","Prev","Outcome"
"1","ES",0.790864813233271,0.765206841781148,0.781512343391314,0.720092172121121,1
"2","Prev",0.588082419209207,0.199879882277959,0.667448999805682,0.610961191753341,1
"3","Prev",0.233917220172983,0.177909221682331,0.2254680076755,0.134106813426266,0
"4","Prev",0.548952196303801,0.155968056229192,0.52380377089722,0.420389448691938,1
"5","Prev",0.429828648150598,0.48117279048472,0.400110373951223,0.387719675352027,1
"6","ES",0.847145045427088,0.197795832404589,0.783005396800175,0.729779017389035,1
"7","RRH",0.758901083115723,0.195543514428261,0.707786000346944,0.656952796500621,0
"8","ES",0.635812064933897,0.206154765956044,0.53254158825819,0.448849236524507,1
"9","Prev",0.455028770129036,0.541463616692573,0.389104643177979,0.31246255211226,1
"10","ES",0.73127593249892,0.700303915556268,0.637195479583083,0.583208260769753,0
"11","Prev",0.253127313966363,0.460370664413265,0.224446915886907,0.16416491588676,0
"12","Prev",0.148270758974567,0.169599800214176,0.137931723129345,0.103868742080081,0
"13","ES",0.779323579822127,0.23983686946892,0.72705499877649,0.680392684475173,1
"14","Prev",0.102240895643708,0.320847486113417,0.106780858528125,0.0718620400588859,0
"15","Prev",0.594378698682035,0.42734915825699,0.545617411349345,0.511287693076946,1
"16","Prev",0.24725588151198,0.45227537895896,0.323564343981775,0.213713176703232,0
"17","Prev",0.310331104187326,0.125989829773941,0.25415608537034,0.265345583981215,0
"18","ES",0.546054386824707,0.299497491862427,0.505027114438278,0.404246954278808,1
"19","Prev",0.186700349073695,0.424149830388335,0.16346485508885,0.11439437662194,0
"20","ES",0.745338105216103,0.203501024369503,0.658265357077902,0.602770234874927,1
"21","ES",0.54831267484728,0.140600695360402,0.491427840206206,0.458295276262417,1
"22","Prev",0.181418206143702,0.397987879130869,0.179073678189849,0.110176139689746,0
"23","ES",0.375507087222471,0.445604136136582,0.354184485964583,0.283269999932095,0
"24","ES",0.299544887772688,0.217755653271785,0.260648981554159,0.190093405462091,1
"25","Prev",0.305855754126092,0.759034416425822,0.247299521507476,0.1734176849054,0
"26","ES",0.712029935052726,0.554692315612564,0.705347541188244,0.618801433806927,1
"27","Prev",0.381540881086296,0.156820776235413,0.365854566944525,0.310046177541171,0
"28","ES",0.478835922071363,0.594828099872295,0.396489987423085,0.331944540040022,0
"29","Prev",0.333395844835179,0.151667939342299,0.287259335374896,0.207649638647102,0
"30","ES",0.301140692801772,0.220144952169482,0.246201953157196,0.187655677067152,1
"31","Prev",0.321317931933776,0.780709518395141,0.286847896375172,0.189470847116622,0
"32","Prev",0.305042084883883,0.437437543286075,0.31664901196785,0.232342636816116,1
"33","Prev",0.356193473127587,0.164398273127642,0.318804632861005,0.28912713912273,1
"34","RRH",0.251656840237741,0.234453320849997,0.260450270763403,0.197771812425693,0
"35","ES",0.483800841722005,0.71633731430251,0.436309356458548,0.411055376490852,1
"36","Prev",0.397642156093852,0.462588867399652,0.371350518578038,0.301760179376302,0
"37","ES",0.585028060032599,0.160554574772877,0.520407055390454,0.424106710685986,1
"38","ES",0.382843150871022,0.609310872800189,0.35722556789947,0.25015271578818,1
"39","Prev",0.364159018432972,0.416004612937851,0.387723721908215,0.253323190277161,0
"40","Prev",0.299853385356438,0.421401344809197,0.264668754351632,0.204311422492793,0
"41","ES",0.804292018658074,0.406624988263077,0.779429428920886,0.717599595196394,1
"42","ES",0.80367098376621,0.34363258505965,0.746717605366426,0.690919753616954,0
"43","Prev",0.2747400339316,0.248132111834091,0.228093931988881,0.152853644517728,1
"44","ES",0.344919283996672,0.349365853025019,0.266830373240748,0.221637579802901,0
"45","ES",0.312797896930162,0.485022953148487,0.297798449997765,0.224329697955698,1
"46","Prev",0.212910729966185,0.232281202942988,0.191833442697124,0.113628875576817,0
"47","ES",0.369974082018254,0.649304724225239,0.334336454430993,0.295171675428346,0
"48","ES",0.535375493011819,0.12071266787876,0.43599720018914,0.365999582107237,1
"49","Prev",0.19719583955616,0.18519696038354,0.219412149420657,0.134379036047946,0
"50","ES",0.45161940485559,0.66101800139667,0.417322827003269,0.302073567225891,1
"51","RRH",0.457349768274295,0.44097973701101,0.411751637544579,0.330711531909012,1
"52","Prev",0.283968717140416,0.211260346946618,0.286038118697254,0.267621029522938,1
"53","ES",0.455396594811012,0.193131442845745,0.363041433352402,0.32796087140607,1
"54","Prev",0.145829596488642,0.152675275642677,0.157347755630758,0.0913167761598331,0
"55","ES",0.426442019441966,0.266064742624533,0.340228381424039,0.296956497500329,1
"56","Prev",0.200396040595443,0.12127852936312,0.205684269200886,0.131120709918301,0
"57","TH",0.457428094163313,0.365511248675954,0.446324180007131,0.345364181110748,1
"58","Prev",0.171016757642977,0.134024691953408,0.133421608668589,0.0923868441245315,0
"59","Prev",0.194526613695912,0.177906094043511,0.169371624565073,0.134155578247068,0
"60","RRH",0.528008321478102,0.13661883845731,0.485210896128688,0.370793144390069,0
"61","ES",0.597041754925177,0.390986279988855,0.531784842238844,0.47429569945198,1
"62","RRH",0.488571614265157,0.143802976497168,0.484137912638632,0.354232113303975,0
"63","Prev",0.123468001599399,0.592258924117994,0.129722463915569,0.110345955874636,0
"64","Prev",0.52452476211033,0.252259722798891,0.44255416862527,0.339727216049143,0
"65","Prev",0.264209655707225,0.160882386062348,0.23199738314223,0.156177118545999,0
"66","Prev",0.241510157002168,0.296369465159713,0.247541565588086,0.136259364277688,0
"67","Prev",0.279188373604382,0.206847443289734,0.206486819687738,0.142118855018086,0
"68","Prev",0.344440649261811,0.319371960911385,0.374226484820947,0.266234128689065,0
"69","Prev",0.211308332408886,0.138920060726398,0.19487468070823,0.133060772040624,0
"70","RRH",0.62655412193432,0.587585429681752,0.655249801708292,0.519938025547634,1
"71","Prev",0.199421672647063,0.151590585367819,0.212051314043063,0.131765369535272,0
