"","Original","Outcome","ES","TH","RRH","Prev","PrevEligible"
"1","ES",1,0.732687248550398,0.712125780356117,0.722712577814474,NA,0
"2","Prev",1,0.491440391388527,0.575437665982238,0.5554257668008,NA,0
"3","Prev",0,0.229158616835694,0.188228964471939,0.194382960953835,0.141511636551192,1
"4","Prev",1,0.49366263881954,0.480922409628548,0.477134453265406,0.391264020914192,1
"5","Prev",1,0.466327088403272,0.373002044185116,0.42493614964341,0.410731063556194,1
"6","ES",1,0.867035970973992,0.824253755239624,0.847074649635538,0.765889887261319,1
"7","RRH",0,0.723410158810359,0.64428892556803,0.712145198727391,0.629229955655156,1
"8","ES",1,0.624739671561932,0.546441486827889,0.567362651194268,0.504346548616275,1
"9","Prev",1,0.559176848691578,0.488152838106226,0.488190256792014,0.416164035797984,1
"10","ES",0,0.73688213433281,0.661753748327214,0.676775661033334,0.623816665986076,1
"11","Prev",0,0.19467217149144,0.193098472823237,0.187255926778455,0.14099248128873,1
"12","Prev",0,0.131318028715788,0.13993741963374,0.122224463604085,0.0886615943891075,1
"13","ES",1,0.768689942640084,0.710094764021402,0.724071884287774,0.675948377313519,1
"14","Prev",0,0.129926064950134,0.119743937298452,0.110091779718411,0.071029979142054,1
"15","Prev",1,0.590029087295922,0.506984012079627,0.547540831188386,0.564002397095114,1
"16","Prev",0,0.32777899297704,0.313581028118075,0.347353238915579,0.213630189570252,1
"17","Prev",0,0.329380646738885,0.292041246891603,0.296894467155256,0.276826163408534,1
"18","ES",1,0.546778552864761,0.468426672698812,0.490907543807295,NA,0
"19","Prev",0,0.176265369248152,0.176878549199074,0.17343531239657,NA,0
"20","ES",1,0.750101542301408,0.684684814630888,0.685274620837377,0.637019877861175,1
"21","ES",1,0.560348912941849,0.536441491316533,0.552281443696597,NA,0
"22","Prev",0,0.203234751757606,0.191456127558023,0.178797977944464,0.112232934428324,1
"23","ES",0,0.349325028604767,0.321538936224458,0.292199386021478,0.253013708840286,1
"24","ES",1,0.320879803380728,0.230073351078634,0.28588748827077,0.209119066547851,1
"25","Prev",0,0.292297212970298,0.211671153797649,0.251782700808254,0.17844672054569,1
"26","ES",1,0.735944460277303,0.672825856849162,0.714380268568779,NA,0
"27","Prev",0,0.398322766738416,0.359442093021235,0.3637951536478,0.318293150637267,1
"28","ES",0,0.477372213261677,0.393400075298653,0.405606311344539,0.353162898962924,1
"29","Prev",0,0.316097282582073,0.279769879845173,0.277589620415291,0.213950944163584,1
"30","ES",1,0.338917151106491,0.263012340317683,0.300417979345637,0.241229826168205,1
"31","Prev",0,0.303392150739003,0.239412006482032,0.272720811261727,0.18226716637158,1
"32","Prev",1,0.278451818886108,0.263016832752155,0.244380121217489,0.175025808279282,1
"33","Prev",1,0.425235776735338,0.370413393859283,0.3917442971743,0.304081109231449,1
"34","RRH",0,0.275580754341316,0.28888321453913,0.289569819173379,NA,0
"35","ES",1,0.558222815421757,0.531089616845089,0.511772935151857,NA,0
"36","Prev",0,0.374336246879743,0.356743985648451,0.363033421824092,0.279846107168854,1
"37","ES",1,0.582520934915432,0.506300456114988,0.562791506913255,0.434919023386044,1
"38","ES",1,0.374658731623154,0.302867433011897,0.361195807463786,0.255687998153864,1
"39","Prev",0,0.358575352977013,0.333844969978099,0.324707389295938,0.238725572520833,1
"40","Prev",0,0.297274677383127,0.322988418349835,0.269290026222011,0.209079645430209,1
"41","ES",1,0.741680951149601,0.711651725760575,0.70231327241032,0.641905164573219,1
"42","ES",0,0.806023632160602,0.751336018947994,0.760280445788224,0.685126731241485,1
"43","Prev",1,0.251952078014013,0.169885838010007,0.201209829218947,0.143529791867594,1
"44","ES",0,0.32202279895639,0.337380702370506,0.311504008225777,0.245604088047441,1
"45","ES",1,0.339556024825163,0.35131969863294,0.277778976634765,0.240339751273723,1
"46","Prev",0,0.211028316275519,0.156946824594792,0.193733054103009,0.118176765548326,1
"47","ES",0,0.374034177628543,0.353701093601827,0.329944707109187,0.278909263609195,1
"48","ES",1,0.553606559405626,0.459919045490812,0.523750174720848,NA,0
"49","Prev",0,0.216303904667719,0.216204267261736,0.226047343854355,0.142930671067219,1
"50","ES",1,0.46535470969801,0.331770239327238,0.434385790741773,0.344065280113307,1
"51","RRH",1,0.391897628980069,0.386504349862465,0.383988614235421,0.296942168947903,1
"52","Prev",1,0.427340994657245,0.39194599244676,0.381021681801644,0.34012000575786,1
"53","ES",1,0.424512594231208,0.412220749858031,0.36071393454914,0.333539349407595,1
"54","Prev",0,0.166662856823989,0.146454088749439,0.181746047858602,0.0927327570107516,1
"55","ES",1,0.415518223533871,0.41029591360952,0.368354083515655,0.325029194497857,1
"56","Prev",0,0.188485869992433,0.175900529710158,0.2064887369213,0.128163106249649,1
"57","TH",1,0.402524976479946,0.391901088176831,0.40253320875428,0.320762243731833,1
"58","Prev",0,0.190324218355474,0.151965014330112,0.153545444351128,0.0948133129011345,1
"59","Prev",0,0.14229930590925,0.160764905673708,0.12226395473775,0.104045052606874,1
"60","RRH",0,0.518094035152587,0.461196010748688,0.513856285178875,NA,0
"61","ES",1,0.571848543472917,0.507158249983944,0.505834312636603,NA,0
"62","RRH",0,0.49503615670872,0.464001773205568,0.487633286259195,NA,0
"63","Prev",0,0.160689279672434,0.172438899968236,0.152458928136117,0.110234178958439,1
"64","Prev",0,0.402108045534697,0.312644947057955,0.361726891297164,0.340823041674632,1
"65","Prev",0,0.258963027598548,0.176245091215509,0.235199292757317,0.14820812969815,1
"66","Prev",0,0.239641695962384,0.219827058383128,0.228342516297144,0.144914990006926,1
"67","Prev",0,0.224232462035265,0.148275299915951,0.180654985011232,0.137337599610754,1
"68","Prev",0,0.367590551704112,0.365053270985473,0.344134757442168,0.273099365846241,1
"69","Prev",0,0.220767826081988,0.236885402748456,0.186405046454209,0.13987942340189,1
"70","RRH",1,0.602284819324181,0.540643558603118,0.571614186305518,NA,0
"71","Prev",0,0.218459178799833,0.204685812272583,0.187729298870733,0.128268368580487,1
